"scientific_name","social"
"Ducula spilorrhoa",0
"Ducula subflavescens",0
"Lopholaimus antarcticus",1
"Hemiphaga novaeseelandiae",1
"Hemiphaga chathamensis",0
"Cryptophaps poecilorrhoa",0
"Gymnophaps albertisii",1
"Gymnophaps mada",1
"Gymnophaps solomonensis",1
"Heliornis fulica",0
"Mentocrex kioloides",0
"Sarothrura pulchra",0
"Sarothrura rufa",0
"Sarothrura affinis",0
"Rallicula forbesi",1
"Rufirallus castaneiceps",0
"Aramides cajaneus",0
"Aramides ypecaha",0
"Rallus tenuirostris",0
"Rallus wetmorei",0
"Rallus semiplumbeus",0
"Rallus aequatorialis",0
"Rallus aquaticus",0
"Crex egregia",0
"Hypotaenidia insignis",0
"Porzana fluminea",1
"Tribonyx ventralis",0
"Tribonyx mortierii",1
"Gallinula tenebrosa",1
"Gallinula galeata",0
"Gallinula comeri",0
"Fulica cornuta",0
"Fulica armillata",0
"Fulica leucoptera",1
"Porphyrio alleni",0
"Porphyrio martinicus",0
"Porphyrio porphyrio",1
"Porphyrio madagascariensis",0
"Porphyrio poliocephalus",0
"Porphyrio pulverulentus",0
"Porphyrio melanotus",0
"Porphyrio mantelli",0
"Porphyrio hochstetteri",0
"Laterallus leucopyrrhus",0
"Porzana fasciata",0
"Coturnicops noveboracensis",1
"Laterallus exilis",0
"Laterallus melanophaius",0
"Zapornia flavirostra",0
"Zapornia paykullii",0
"Zapornia bicolor",0
"Zapornia pusilla",0
"Zapornia tabuensis",0
"Zapornia monasa",0
"Zapornia atra",0
"Zapornia palmeri",0
"Gymnocrex plumbeiventris",0
"Himantornis haematopus",0
"Amaurornis phoenicurus",0
"Amaurornis moluccana",0
"Psophia crepitans",1
"Psophia ochroptera",1
"Psophia leucoptera",1
"Psophia viridis",1
"Psophia dextralis",0
"Psophia obscura",1
"Grus rubicunda",1
"Anthropoides virgo",1
"Aramus guarauna",0
"Tachybaptus rufolavatus",0
"Tachybaptus tricolor",0
"Tachybaptus novaehollandiae",0
"Tachybaptus pelzelnii",0
"Tachybaptus dominicus",0
"Podilymbus podiceps",0
"Podilymbus gigas",0
"Rollandia rolland",0
"Rollandia microptera",0
"Poliocephalus poliocephalus",1
"Poliocephalus rufopectus",1
"Podiceps major",1
"Podiceps grisegena",1
"Podiceps cristatus",0
"Podiceps auritus",0
"Podiceps nigricollis",0
"Podiceps occipitalis",0
"Podiceps juninensis",0
"Podiceps taczanowskii",0
"Podiceps gallardoi",0
"Aechmophorus occidentalis",0
"Aechmophorus clarkii",0
"Phoenicopterus roseus",0
"Phoenicopterus ruber",0
"Phoenicopterus chilensis",0
"Phoeniconaias minor",0
"Phoenicoparrus andinus",0
"Phoenicoparrus jamesi",0
"Turnix tanki",0
"Turnix maculosus",0
"Turnix suscitator",0
"Turnix sylvaticus",0
"Turnix velox",1
"Turnix pyrrhothorax",0
"Turnix hottentottus",0
"Turnix castanotus",0
"Turnix olivii",0
"Turnix varius",0
"Turnix melanogaster",0
"Turnix nigricollis",0
"Ortyxelos meiffrenii",0
"Burhinus bistriatus",0
"Burhinus superciliaris",1
"Esacus recurvirostris",0
"Esacus magnirostris",0
"Burhinus capensis",0
"Burhinus vermiculatus",0
"Burhinus grallarius",0
"Burhinus oedicnemus",0
"Burhinus senegalensis",0
"Pluvianellus socialis",0
"Chionis minor",0
"Haematopus palliatus",0
"Haematopus meadewaldoi",0
"Himantopus himantopus",0
"Himantopus leucocephalus",0
"Himantopus mexicanus",0
"Himantopus melanurus",1
"Cladorhynchus leucocephalus",0
"Recurvirostra avosetta",0
"Recurvirostra americana",0
"Recurvirostra novaehollandiae",0
"Recurvirostra andina",0
"Pluvialis squatarola",1
"Pluvialis apricaria",0
"Oreopholus ruficollis",1
"Charadrius modestus",1
"Eudromias morinellus",1
"Charadrius hiaticula",0
"Charadrius semipalmatus",1
"Charadrius melodus",1
"Thinornis cucullatus",0
"Charadrius forbesi",0
"Charadrius tricollaris",0
"Elseyornis melanops",0
"Charadrius dubius",0
"Vanellus vanellus",1
"Vanellus armatus",0
"Vanellus spinosus",1
"Vanellus tectus",1
"Vanellus albiceps",1
"Vanellus lugubris",1
"Vanellus melanopterus",1
"Vanellus coronatus",1
"Vanellus senegallus",1
"Vanellus indicus",0
"Vanellus tricolor",1
"Vanellus miles",1
"Vanellus gregarius",1
"Vanellus leucurus",1
"Vanellus chilensis",1
"Erythrogonys cinctus",1
"Peltohyas australis",1
"Charadrius asiaticus",1
"Charadrius veredus",0
"Charadrius atrifrons",1
"Charadrius mongolus",1
"Charadrius leschenaultii",0
"Charadrius bicinctus",0
"Anarhynchus frontalis",0
"Charadrius obscurus",0
"Charadrius aquilonius",0
"Charadrius wilsonia",1
"Charadrius collaris",1
"Charadrius alticola",0
"Charadrius falklandicus",0
"Charadrius pecuarius",1
"Charadrius sanctaehelenae",0
"Charadrius ruficapillus",1
"Charadrius nivosus",1
"Charadrius pallidus",0
"Charadrius peronii",1
"Charadrius marginatus",0
"Charadrius alexandrinus",0
"Pluvianus aegyptius",0
"Rostratula australis",1
"Nycticryphes semicollaris",0
"Pedionomus torquatus",0
"Attagis gayi",0
"Thinocorus orbignyianus",0
"Thinocorus rumicivorus",0
"Bartramia longicauda",1
"Numenius phaeopus",1
"Numenius minutus",1
"Numenius borealis",1
"Numenius madagascariensis",0
"Numenius tenuirostris",0
"Limosa lapponica",1
"Limosa limosa",0
"Limosa haemastica",1
"Limosa fedoa",1
"Limnodromus semipalmatus",0
"Coenocorypha pusilla",0
"Coenocorypha huegeli",0
"Coenocorypha aucklandica",0
"Gallinago media",0
"Gallinago megala",0
"Gallinago hardwickii",0
"Gallinago nigripennis",0
"Gallinago undulata",0
"Gallinago paraguaiae",0
"Phalaropus lobatus",1
"Xenus cinereus",1
"Actitis hypoleucos",0
"Actitis macularius",0
"Tringa stagnatilis",1
"Tringa glareola",0
"Tringa totanus",1
"Tringa guttifer",1
"Tringa semipalmata",1
"Arenaria interpres",1
"Arenaria melanocephala",1
"Calidris canutus",1
"Calidris pugnax",1
"Calidris falcinellus",1
"Calidris himantopus",1
"Calidris subminuta",0
"Calidris ruficollis",1
"Calidris pygmaea",1
"Calidris subruficollis",1
"Calidris alba",1
"Calidris alpina",0
"Calidris maritima",0
"Calidris bairdii",1
"Calidris minuta",1
"Calidris fuscicollis",0
"Calidris melanotos",0
"Calidris pusilla",1
"Dromas ardeola",0
"Cursorius coromandelicus",1
"Stiltia isabella",0
"Glareola nuchalis",0
"Glareola cinerea",1
"Glareola lactea",0
"Glareola maldivarum",0
"Glareola nordmanni",1
"Glareola pratincola",0
"Glareola ocularis",0
"Rynchops flavirostris",0
"Rynchops albicollis",0
"Rynchops niger",1
"Gygis alba",0
"Gygis candida",0
"Anous stolidus",1
"Anous tenuirostris",0
"Anous minutus",0
"Anous albivittus",0
"Anous ceruleus",0
"Onychoprion aleuticus",0
"Onychoprion fuscatus",0
"Onychoprion anaethetus",0
"Onychoprion lunatus",0
"Sternula albifrons",0
"Sternula saundersi",0
"Sternula antillarum",0
"Sternula superciliaris",0
"Sternula lorata",1
"Sternula nereis",0
"Sternula balaenarum",1
"Phaetusa simplex",1
"Gelochelidon nilotica",0
"Gelochelidon macrotarsa",0
"Hydroprogne caspia",1
"Larosterna inca",1
"Chlidonias hybrida",0
"Chlidonias albostriatus",0
"Chlidonias niger",0
"Chlidonias leucopterus",0
"Sterna aurantia",0
"Sterna forsteri",1
"Sterna trudeaui",0
"Sterna paradisaea",0
"Sterna hirundinacea",0
"Sterna vittata",1
"Sterna virgata",0
"Sterna hirundo",0
"Sterna repressa",0
"Sterna sumatrana",0
"Sterna dougallii",0
"Sterna striata",0
"Sterna acuticauda",1
"Thalasseus sandvicensis",0
"Thalasseus acuflavidus",0
"Thalasseus elegans",0
"Thalasseus bengalensis",0
"Thalasseus albididorsalis",1
"Thalasseus maximus",1
"Thalasseus bergii",0
"Creagrus furcatus",0
"Hydrocoloeus minutus",0
"Rhodostethia rosea",0
"Rissa tridactyla",0
"Rissa brevirostris",0
"Pagophila eburnea",0
"Xema sabini",0
"Saundersilarus saundersi",0
"Larus genei",0
"Larus philadelphia",1
"Larus novaehollandiae",0
"Larus bulleri",0
"Larus serranus",0
"Larus maculipennis",0
"Larus ridibundus",0
"Larus brunnicephalus",0
"Larus cirrocephalus",0
"Larus hartlaubii",0
"Larus modestus",0
"Larus scoresbii",0
"Larus atricilla",0
"Larus pipixcan",0
"Larus fuliginosus",0
"Larus ichthyaetus",0
"Larus relictus",0
"Larus audouinii",0
"Larus melanocephalus",1
"Larus hemprichii",0
"Larus leucophthalmus",1
"Larus pacificus",0
"Larus belcheri",0
"Larus crassirostris",0
"Larus atlanticus",0
"Larus heermanni",0
"Larus canus",1
"Larus brachyrhynchus",0
"Larus delawarensis",0
"Larus livens",0
"Larus cachinnans",0
"Larus dominicanus",0
"Larus argentatus",0
"Larus michahellis",0
"Larus armenicus",0
"Larus marinus",0
"Larus hyperboreus",0
"Larus fuscus",0
"Larus californicus",0
"Larus smithsonianus",0
"Larus glaucescens",0
"Larus schistisagus",0
"Larus glaucoides",0
"Stercorarius parasiticus",0
"Stercorarius pomarinus",1
"Catharacta skua",1
"Catharacta chilensis",0
"Catharacta antarctica",0
"Catharacta maccormicki",1
"Cerorhinca monocerata",0
"Fratercula cirrhata",0
"Fratercula arctica",0
"Fratercula corniculata",0
"Ptychoramphus aleuticus",0
"Aethia pusilla",0
"Aethia pygmaea",0
"Aethia cristatella",0
"Aethia psittacula",0
"Brachyramphus brevirostris",0
"Brachyramphus marmoratus",0
"Cepphus grylle",0
"Cepphus carbo",0
"Cepphus columba",0
"Alca torda",0
"Pinguinus impennis",0
"Alle alle",0
"Uria lomvia",0
"Uria aalge",0
"Synthliboramphus antiquus",0
"Synthliboramphus wumizusume",1
"Synthliboramphus scrippsi",0
"Synthliboramphus hypoleucus",0
"Synthliboramphus craveri",0
"Rhynochetos jubatus",0
"Eurypyga helias",0
"Phaethon aethereus",0
"Phaethon rubricauda",0
"Phaethon lepturus",0
"Gavia stellata",1
"Gavia arctica",0
"Gavia pacifica",0
"Gavia immer",0
"Gavia adamsii",0
"Aptenodytes patagonicus",0
"Aptenodytes forsteri",0
"Pygoscelis adeliae",0
"Pygoscelis antarcticus",0
"Pygoscelis papua",0
"Eudyptula minor",0
"Spheniscus mendiculus",0
"Spheniscus humboldti",0
"Spheniscus magellanicus",0
"Spheniscus demersus",0
"Megadyptes antipodes",1
"Eudyptes chrysolophus",0
"Eudyptes schlegeli",0
"Eudyptes moseleyi",0
"Eudyptes filholi",0
"Eudyptes chrysocome",0
"Eudyptes pachyrhynchus",0
"Eudyptes robustus",0
"Eudyptes sclateri",0
"Oceanites oceanicus",0
"Oceanites gracilis",0
"Oceanites pincoyae",0
"Garrodia nereis",0
"Pelagodroma marina",1
"Fregetta grallaria",0
"Fregetta tropica",0
"Fregetta lineata",1
"Fregetta maoriana",0
"Nesofregetta fuliginosa",0
"Diomedea sanfordi",0
"Diomedea epomophora",0
"Diomedea exulans",0
"Diomedea dabbenena",0
"Diomedea antipodensis",0
"Phoebastria irrorata",0
"Phoebastria immutabilis",0
"Phoebastria nigripes",0
"Phoebastria albatrus",0
"Phoebetria fusca",0
"Phoebetria palpebrata",0
"Thalassarche chlororhynchos",0
"Thalassarche carteri",0
"Thalassarche chrysostoma",0
"Thalassarche bulleri",0
"Thalassarche cauta",0
"Thalassarche steadi",0
"Thalassarche salvini",0
"Thalassarche eremita",0
"Thalassarche melanophris",0
"Thalassarche impavida",0
"Hydrobates pelagicus",0
"Hydrobates furcatus",0
"Hydrobates hornbyi",1
"Hydrobates monorhis",0
"Hydrobates matsudairae",0
"Hydrobates leucorhous",0
"Hydrobates socorroensis",0
"Hydrobates cheimomnestes",0
"Hydrobates homochroa",0
"Hydrobates castro",0
"Hydrobates jabejabe",0
"Hydrobates tethys",0
"Hydrobates melania",0
"Hydrobates markhami",0
"Hydrobates tristrami",0
"Hydrobates microsoma",0
"Macronectes giganteus",0
"Macronectes halli",0
"Fulmarus glacialis",0
"Fulmarus glacialoides",0
"Thalassoica antarctica",0
"Daption capense",0
"Pagodroma nivea",0
"Halobaena caerulea",0
"Pachyptila vittata",0
"Pachyptila salvini",0
"Pachyptila macgillivrayi",0
"Pachyptila desolata",0
"Pachyptila belcheri",0
"Pachyptila turtur",0
"Pachyptila crassirostris",0
"Aphrodroma brevirostris",0
"Pterodroma macroptera",0
"Pterodroma lessonii",1
"Pterodroma gouldi",0
"Pterodroma incerta",0
"Pterodroma solandri",0
"Pterodroma magentae",0
"Pterodroma ultima",0
"Pterodroma mollis",0
"Pterodroma madeira",0
"Pterodroma feae",0
"Pterodroma cahow",0
"Pterodroma hasitata",1
"Pterodroma externa",0
"Pterodroma neglecta",0
"Pterodroma heraldica",0
"Pterodroma arminjoniana",0
"Pterodroma atrata",0
"Pterodroma alba",0
"Pterodroma baraui",0
"Pterodroma sandwichensis",0
"Pterodroma phaeopygia",0
"Pterodroma inexpectata",0
"Pterodroma cervicalis",0
"Pterodroma nigripennis",0
"Pterodroma axillaris",0
"Pterodroma hypoleuca",0
"Pterodroma leucoptera",0
"Pterodroma brevipes",1
"Pterodroma cookii",0
"Pterodroma defilippiana",0
"Pterodroma longirostris",0
"Pterodroma pycrofti",0
"Pseudobulweria aterrima",0
"Pseudobulweria rostrata",0
"Pseudobulweria becki",0
"Procellaria cinerea",0
"Procellaria aequinoctialis",0
"Procellaria conspicillata",0
"Procellaria parkinsoni",0
"Procellaria westlandica",0
"Calonectris leucomelas",0
"Calonectris borealis",0
"Calonectris diomedea",0
"Calonectris edwardsii",0
"Ardenna pacifica",0
"Ardenna bulleri",0
"Ardenna grisea",0
"Ardenna tenuirostris",0
"Ardenna creatopus",1
"Ardenna carneipes",0
"Ardenna gravis",0
"Puffinus nativitatis",0
"Puffinus puffinus",0
"Puffinus yelkouan",0
"Puffinus opisthomelas",1
"Puffinus auricularis",0
"Puffinus newelli",0
"Puffinus myrtae",0
"Puffinus gavia",0
"Puffinus huttoni",0
"Puffinus lherminieri",0
"Puffinus bailloni",0
"Puffinus subalaris",0
"Puffinus assimilis",0
"Puffinus elegans",0
"Puffinus baroli",0
"Puffinus boydi",0
"Pelecanoides garnotii",1
"Pelecanoides magellani",0
"Pelecanoides georgicus",0
"Pelecanoides whenuahouensis",0
"Pelecanoides urinatrix",0
"Bulweria bulwerii",0
"Bulweria fallax",0
"Anastomus lamelligerus",0
"Anastomus oscitans",0
"Leptoptilos crumenifer",0
"Leptoptilos javanicus",0
"Leptoptilos dubius",0
"Mycteria americana",0
"Mycteria ibis",0
"Mycteria leucocephala",0
"Mycteria cinerea",0
"Jabiru mycteria",0
"Ephippiorhynchus senegalensis",0
"Ephippiorhynchus asiaticus",0
"Ciconia abdimii",0
"Ciconia microscelis",0
"Ciconia episcopus",0
"Ciconia stormi",0
"Ciconia nigra",1
"Ciconia maguari",0
"Ciconia ciconia",0
"Ciconia boyciana",0
"Fregata aquila",0
"Fregata magnificens",0
"Fregata ariel",0
"Fregata minor",0
"Fregata andrewsi",0
"Papasula abbotti",0
"Morus bassanus",1
"Morus capensis",0
"Morus serrator",0
"Sula sula",0
"Sula leucogaster",0
"Sula brewsteri",0
"Sula dactylatra",0
"Sula granti",0
"Sula nebouxii",0
"Sula variegata",0
"Anhinga anhinga",0
"Anhinga novaehollandiae",0
"Anhinga melanogaster",0
"Anhinga rufa",0
"Microcarbo pygmaeus",0
"Microcarbo africanus",0
"Microcarbo coronatus",1
"Microcarbo niger",0
"Microcarbo melanoleucos",0
"Poikilocarbo gaimardi",0
"Urile penicillatus",0
"Urile urile",0
"Urile pelagicus",0
"Phalacrocorax neglectus",0
"Phalacrocorax nigrogularis",0
"Phalacrocorax punctatus",0
"Phalacrocorax fuscescens",0
"Phalacrocorax varius",0
"Phalacrocorax sulcirostris",0
"Phalacrocorax fuscicollis",0
"Phalacrocorax capensis",0
"Phalacrocorax capillatus",0
"Phalacrocorax carbo",0
"Gulosus aristotelis",0
"Nannopterum harrisi",0
"Nannopterum brasilianum",0
"Nannopterum auritum",0
"Leucocarbo magellanicus",0
"Leucocarbo bougainvilliorum",0
"Leucocarbo ranfurlyi",0
"Leucocarbo carunculatus",0
"Leucocarbo onslowi",0
"Leucocarbo chalconotus",1
"Leucocarbo colensoi",0
"Leucocarbo campbelli",0
"Leucocarbo atriceps",0
"Leucocarbo georgianus",0
"Leucocarbo melanogenis",0
"Leucocarbo bransfieldensis",0
"Leucocarbo verrucosus",0
"Leucocarbo nivalis",0
"Leucocarbo purpurascens",0
"Threskiornis aethiopicus",0
"Threskiornis bernieri",0
"Threskiornis melanocephalus",0
"Threskiornis moluccus",0
"Threskiornis spinicollis",0
"Pseudibis papillosa",0
"Pseudibis davisoni",0
"Thaumatibis gigantea",0
"Geronticus eremita",0
"Geronticus calvus",0
"Nipponia nippon",1
"Bostrychia rara",0
"Bostrychia hagedash",1
"Bostrychia carunculata",0
"Theristicus caerulescens",0
"Theristicus caudatus",1
"Theristicus melanopis",1
"Cercibis oxycerca",0
"Mesembrinibis cayennensis",0
"Phimosus infuscatus",0
"Eudocimus albus",0
"Eudocimus ruber",1
"Plegadis falcinellus",0
"Plegadis chihi",0
"Plegadis ridgwayi",1
"Lophotibis cristata",0
"Platalea leucorodia",0
"Platalea minor",1
"Platalea alba",0
"Platalea regia",0
"Platalea flavipes",0
"Platalea ajaja",0
"Tigriornis leucolopha",0
"Tigrisoma lineatum",0
"Tigrisoma mexicanum",0
"Tigrisoma fasciatum",0
"Cochlearius cochlearius",1
"Agamia agami",0
"Zebrilus undulatus",0
"Botaurus stellaris",0
"Botaurus poiciloptilus",0
"Botaurus lentiginosus",0
"Botaurus pinnatus",0
"Ixobrychus involucris",0
"Ixobrychus exilis",1
"Ixobrychus flavicollis",0
"Ixobrychus cinnamomeus",0
"Ixobrychus eurhythmus",0
"Ixobrychus sturmii",0
"Ixobrychus minutus",0
"Ixobrychus sinensis",0
"Ixobrychus dubius",0
"Nyctanassa violacea",0
"Nycticorax nycticorax",0
"Nycticorax caledonicus",0
"Gorsachius melanolophus",0
"Gorsachius goisagi",0
"Pilherodius pileatus",0
"Syrigma sibilatrix",1
"Egretta caerulea",0
"Egretta tricolor",0
"Egretta rufescens",0
"Egretta vinaceigula",0
"Egretta ardesiaca",0
"Egretta sacra",1
"Egretta eulophotes",0
"Egretta thula",0
"Egretta garzetta",0
"Egretta gularis",0
"Egretta picata",0
"Egretta novaehollandiae",1
"Calherodius leuconotus",0
"Oroanassa magnifica",0
"Butorides atricapilla",0
"Butorides striata",0
"Butorides virescens",0
"Zonerodius heliosylus",0
"Ardeola rufiventris",0
"Ardeola ralloides",0
"Ardeola idae",0
"Ardeola grayii",1
"Ardeola bacchus",0
"Ardeola speciosa",0
"Ardea pacifica",0
"Ardea alba",0
"Ardea brachyrhyncha",0
"Ardea intermedia",0
"Ardea plumifera",0
"Bubulcus ibis",0
"Ardea coromanda",0
"Ardea cinerea",0
"Ardea herodias",0
"Ardea cocoi",1
"Ardea purpurea",1
"Ardea insignis",0
"Ardea sumatrana",0
"Ardea melanocephala",0
"Ardea goliath",0
"Scopus umbretta",0
"Balaeniceps rex",0
"Pelecanus onocrotalus",0
"Pelecanus rufescens",0
"Pelecanus philippensis",1
"Pelecanus crispus",0
"Pelecanus erythrorhynchos",0
"Pelecanus occidentalis",0
"Pelecanus thagus",0
"Opisthocomus hoazin",1
"Sarcoramphus papa",0
"Coragyps atratus",0
"Cathartes aura",1
"Cathartes burrovianus",0
"Cathartes melambrotus",0
"Pandion haliaetus",1
"Chelictinia riocourii",1
"Elanus axillaris",1
"Elanus scriptus",1
"Gypaetus barbatus",0
"Neophron percnopterus",0
"Chondrohierax uncinatus",0
"Elanoides forficatus",1
"Hamirostra melanosternon",0
"Lophoictinia isura",0
"Aegypius monachus",1
"Gyps himalayensis",1
"Gyps bengalensis",0
"Gyps africanus",1
"Gyps indicus",0
"Gyps coprotheres",0
"Gyps rueppelli",0
"Gyps fulvus",1
"Morphnus guianensis",0
"Harpia harpyja",0
"Spizaetus tyrannus",0
"Spizaetus melanoleucus",0
"Spizaetus ornatus",0
"Hieraaetus morphnoides",0
"Aquila heliaca",0
"Aquila audax",0
"Micronisus gabar",0
"Accipiter tachiro",0
"Accipiter cirrocephalus",0
"Accipiter poliocephalus",0
"Accipiter novaehollandiae",0
"Accipiter rufitorques",0
"Accipiter fasciatus",0
"Erythrotriorchis radiatus",0
"Accipiter striatus",0
"Accipiter bicolor",0
"Accipiter cooperii",0
"Accipiter gentilis",0
"Accipiter meyerianus",0
"Circus assimilis",0
"Circus macrourus",1
"Circus cyaneus",1
"Circus cinereus",0
"Circus pygargus",1
"Circus aeruginosus",1
"Circus approximans",0
"Accipiter superciliosus",0
"Milvus migrans",0
"Milvus aegyptius",0
"Haliastur indus",0
"Haliastur sphenurus",0
"Haliaeetus leucoryphus",0
"Haliaeetus albicilla",0
"Haliaeetus leucocephalus",0
"Haliaeetus vocifer",1
"Haliaeetus leucogaster",0
"Ictinia mississippiensis",1
"Ictinia plumbea",0
"Rostrhamus sociabilis",0
"Buteogallus anthracinus",1
"Buteogallus aequinoctialis",0
"Buteogallus lacernulatus",0
"Buteogallus urubitinga",0
"Buteogallus coronatus",0
"Rupornis magnirostris",0
"Parabuteo unicinctus",0
"Pseudastur albicollis",0
"Geranoaetus albicaudatus",0
"Geranoaetus melanoleucus",0
"Leucopternis kuhli",0
"Buteo platypterus",0
"Buteo lineatus",0
"Buteo ridgwayi",0
"Buteo albonotatus",0
"Buteo brachyurus",0
"Buteo swainsoni",0
"Buteo galapagoensis",0
"Buteo jamaicensis",0
"Tyto tenebricosa",0
"Tyto inexspectata",0
"Tyto nigrobrunnea",0
"Tyto aurantia",0
"Tyto novaehollandiae",0
"Tyto rosenbergii",0
"Tyto soumagnei",0
"Tyto alba",0
"Tyto furcata",0
"Tyto javanica",0
"Tyto glaucops",0
"Tyto capensis",0
"Tyto longimembris",1
"Ninox rudolfi",0
"Ninox scutulata",0
"Ninox natalis",0
"Ninox theomacha",0
"Ninox punctulata",0
"Ninox odiosa",0
"Athene cunicularia",0
"Athene brama",0
"Athene jacquinoti",0
"Glaucidium palmarum",0
"Glaucidium hardyi",0
"Glaucidium brasilianum",0
"Otus scops",0
"Otus cyprius",1
"Otus senegalensis",0
"Pyrroglaux podargina",0
"Ptilopsis leucotis",0
"Asio clamator",0
"Asio otus",1
"Asio abyssinicus",1
"Asio flammeus",0
"Bubo virginianus",0
"Bubo bubo",0
"Bubo milesi",0
"Psiloscops flammeolus",0
"Gymnasio nudipes",0
"Megascops choliba",0
"Megascops ingens",0
"Megascops centralis",0
"Megascops atricapilla",0
"Pulsatrix perspicillata",0
"Pulsatrix koeniswaldiana",0
"Lophostrix cristata",0
"Urocolius indicus",0
"Apaloderma narina",0
"Pharomachrus pavoninus",0
"Priotelus temnurus",0
"Trogon melanurus",0
"Trogon citreolus",0
"Trogon viridis",0
"Trogon ramonianus",0
"Trogon violaceus",1
"Trogon curucui",1
"Trogon tenellus",0
"Trogon cupreicauda",0
"Trogon rufus",1
"Trogon chrysochloros",1
"Trogon collaris",0
"Upupa epops",0
"Rhinopomastus castaneiceps",0
"Phoeniculus bollei",1
"Phoeniculus purpureus",1
"Phoeniculus somaliensis",1
"Phoeniculus damarensis",1
"Rhinopomastus aterrimus",0
"Rhinopomastus cyanomelas",0
"Rhinopomastus minor",0
"Bucorvus abyssinicus",1
"Bucorvus leadbeateri",1
"Tockus kempi",1
"Tockus erythrorhynchus",1
"Tockus deckeni",0
"Tockus leucomelas",0
"Tockus flavirostris",0
"Lophoceros fasciatus",1
"Lophoceros camurus",1
"Bycanistes fistulator",1
"Bycanistes cylindricus",0
"Ceratogymna atrata",0
"Horizocerus hartlaubi",0
"Horizocerus albocristatus",0
"Berenicornis comatus",0
"Buceros rhinoceros",0
"Buceros bicornis",1
"Rhinoplax vigil",0
"Anthracoceros albirostris",0
"Anthracoceros coronatus",1
"Anthracoceros montani",0
"Anthracoceros malayanus",0
"Ocyceros griseus",0
"Ocyceros gingalensis",0
"Ocyceros birostris",0
"Anorrhinus tickelli",0
"Anorrhinus austeni",1
"Anorrhinus galeritus",0
"Aceros nipalensis",0
"Rhyticeros plicatus",0
"Rhyticeros narcondami",0
"Rhyticeros undulatus",0
"Rhyticeros everetti",0
"Rhyticeros subruficollis",0
"Rhyticeros cassidix",0
"Rhabdotorrhinus waldeni",1
"Rhabdotorrhinus leucocephalus",0
"Rhabdotorrhinus exarhatus",0
"Rhabdotorrhinus corrugatus",0
"Penelopides manillae",0
"Penelopides mindorensis",0
"Penelopides affinis",0
"Penelopides panini",0
"Coracias garrulus",1
"Coracias cyanogaster",1
"Eurystomus orientalis",0
"Uratelornis chimaera",0
"Cittura cyanotis",0
"Dacelo tyro",1
"Dacelo novaeguineae",0
"Dacelo leachii",1
"Halcyon smyrnensis",0
"Halcyon chelicuti",0
"Todiramphus macleayii",0
"Todiramphus chloris",0
"Todiramphus pelewensis",0
"Todiramphus sanctus",0
"Todiramphus tutus",0
"Ispidina picta",0
"Alcedo meninting",0
"Alcedo atthis",0
"Ceyx rufidorsa",0
"Chloroceryle aenea",0
"Chloroceryle americana",0
"Megaceryle maxima",0
"Megaceryle torquata",0
"Ceryle rudis",0
"Todus multicolor",0
"Todus angustirostris",0
"Todus mexicanus",0
"Momotus bahamensis",1
"Momotus momota",0
"Baryphthengus martii",0
"Baryphthengus ruficapillus",0
"Electron platyrhynchum",0
"Eumomota superciliosa",0
"Nyctyornis amictus",0
"Nyctyornis athertoni",0
"Merops breweri",1
"Merops mentalis",0
"Merops gularis",0
"Merops hirundineus",1
"Merops variegatus",0
"Merops lafresnayii",1
"Merops oreobates",0
"Merops bulocki",0
"Merops bullockoides",0
"Merops revoilii",0
"Merops albicollis",1
"Merops boehmi",1
"Merops cyanophrys",0
"Merops orientalis",0
"Merops persicus",1
"Merops superciliosus",0
"Merops philippinus",0
"Merops ornatus",1
"Merops viridis",0
"Merops americanus",1
"Merops leschenaulti",1
"Merops malimbicus",0
"Merops nubicus",0
"Galbalcyrhynchus leucotis",0
"Galbalcyrhynchus purusianus",0
"Brachygalba salmoni",0
"Brachygalba goeringi",0
"Brachygalba lugubris",0
"Brachygalba albogularis",0
"Jacamaralcyon tridactyla",0
"Galbula albirostris",0
"Galbula cyanicollis",0
"Galbula ruficauda",0
"Galbula galbula",0
"Galbula tombacea",0
"Galbula chalcothorax",0
"Galbula leucogastra",0
"Galbula dea",0
"Jacamerops aureus",0
"Notharchus tectus",0
"Cyphos macrodactylus",0
"Bucco capensis",0
"Nystalus obamai",0
"Malacoptila striata",0
"Malacoptila fusca",0
"Malacoptila rufa",0
"Micromonacha lanceolata",0
"Nonnula rubecula",0
"Nonnula sclateri",0
"Monasa nigrifrons",0
"Monasa morphoeus",0
"Monasa flavirostris",0
"Chelidoptera tenebrosa",0
"Capito aurovirens",0
"Capito fitzpatricki",1
"Capito maculicoronatus",1
"Capito squamatus",0
"Capito hypoleucus",0
"Capito dayi",0
"Capito brunneipectus",0
"Capito niger",0
"Capito auratus",0
"Capito quinticolor",0
"Eubucco richardsoni",0
"Eubucco aurantiicollis",0
"Eubucco bourcierii",1
"Eubucco versicolor",0
"Eubucco steerii",0
"Eubucco glaucogularis",0
"Semnornis frantzii",0
"Semnornis ramphastinus",0
"Ramphastos toco",1
"Ramphastos ambiguus",0
"Ramphastos tucanus",1
"Ramphastos dicolorus",1
"Ramphastos brevis",0
"Ramphastos sulfuratus",1
"Ramphastos vitellinus",0
"Pteroglossus bailloni",0
"Pteroglossus viridis",0
"Pteroglossus inscriptus",0
"Pteroglossus humboldti",0
